dataset,accuracy,network
robot_failure_lp1,0.9529,plain_CNN
robot_failure_lp2,0.68,plain_CNN
robot_failure_lp3,0.80,plain_CNN
robot_failure_lp4,0.869,plain_CNN
robot_failure_lp5,0.7814,plain_CNN
pen_digits,0.9714,plain_CNN

libras,1.00,plain_CNN
arabic_digits,0.9805,plain_CNN
trajectories,0.9810,plain_CNN
auslan,1.0,plain_CNN
wafer,0.9916,plain_CNN
ecg,0.925,plain_CNN



libras,1.00,plain_CNN
arabic_digits,0.9805,plain_CNN
trajectories,0.9810,plain_CNN
auslan,1.0,plain_CNN
wafer,0.9916,plain_CNN
ecg,0.925,plain_CNN



