accuracy,dataset,layer_size,network
0.639344262295,Lighting2,4,plain_cnn
0.49022892239,uWaveGestureLibrary_X,4,plain_cnn
0.832268370607,MoteStrain,4,plain_cnn
0.475432719151,uWaveGestureLibrary_Z,4,plain_cnn
0.83,ECG200,4,plain_cnn
0.785365853659,ProximalPhalanxOutlineAgeGroup,4,plain_cnn
0.925373134328,TwoLeadECG,4,plain_cnn
1.0,Coffee,4,plain_cnn
0.233333333333,Cricket_Y,4,plain_cnn
0.757071547421,SonyAIBORobotSurface,4,plain_cnn
0.332824427481,NonInvasiveFatalECG_Thorax2,4,plain_cnn
0.473684210526,MiddlePhalanxTW,4,plain_cnn
0.715,Yoga,4,plain_cnn
0.2,Beef,4,plain_cnn
0.643902439024,FacesUCR,4,plain_cnn
0.81,DistalPhalanxOutlineAgeGroup,4,plain_cnn
0.736842105263,ToeSegmentation1,4,plain_cnn
0.86825,Two_Patterns,4,plain_cnn
0.7925,DistalPhalanxOutlineAgeGroup,4,plain_cnn
