accuracy,dataset,network
,50Words,plain_CNN
,Adiac,plain_CNN
,ArrowHead,plain_CNN
,Beef,plain_CNN
,BeetleFly,plain_CNN
,BirdChicken,plain_CNN
,CBF,plain_CNN
,Car,plain_CNN
,ChlorineConcentration,plain_CNN
,CinC_ECG_torso,plain_CNN
,Coffee,plain_CNN
,Computers,plain_CNN
,Cricket_X,plain_CNN
,Cricket_Y,plain_CNN
,Cricket_Z,plain_CNN
,DiatomSizeReduction,plain_CNN
,DistalPhalanxOutlineAgeGroup,plain_CNN
,DistalPhalanxOutlineCorrect,plain_CNN
,DistalPhalanxTW,plain_CNN
,ECG200,plain_CNN
,ECG5000,plain_CNN
,ECGFiveDays,plain_CNN
,Earthquakes,plain_CNN
,FaceAll,plain_CNN
,FaceFour,plain_CNN
,FacesUCR,plain_CNN
,Fish,plain_CNN
,FordA,plain_CNN
,FordB,plain_CNN
,Gun_Point,plain_CNN
,Ham,plain_CNN
,HandOutlines,plain_CNN
,Haptics,plain_CNN
,Herring,plain_CNN
,InlineSkate,plain_CNN
,InsectWingbeatSound,plain_CNN
,ItalyPowerDemand,plain_CNN
,LargeKitchenAppliances,plain_CNN
,Lighting2,plain_CNN
,Lighting7,plain_CNN
,MALLAT,plain_CNN
,Meat,plain_CNN
,MedicalImages,plain_CNN
,MiddlePhalanxOutlineAgeGroup,plain_CNN
,MiddlePhalanxOutlineCorrect,plain_CNN
,MiddlePhalanxTW,plain_CNN
,MoteStrain,plain_CNN
,NonInvasiveFatalECG_Thorax1,plain_CNN
,NonInvasiveFatalECG_Thorax2,plain_CNN
,OSULeaf,plain_CNN
,OliveOil,plain_CNN
,PhalangesOutlinesCorrect,plain_CNN
,Phoneme,plain_CNN
,Plane,plain_CNN
,ProximalPhalanxOutlineAgeGroup,plain_CNN
,ProximalPhalanxOutlineCorrect,plain_CNN
,ProximalPhalanxTW,plain_CNN
,RefrigerationDevices,plain_CNN
,ScreenType,plain_CNN
,ShapeletSim,plain_CNN
,ShapesAll,plain_CNN
,SmallKitchenAppliances,plain_CNN
,SonyAIBORobotSurface,plain_CNN
,SonyAIBORobotSurfaceII,plain_CNN
,StarLightCurves,plain_CNN
,Strawberry,plain_CNN
,SwedishLeaf,plain_CNN
,Symbols,plain_CNN
,synthetic_control,plain_CNN
,ToeSegmentation1,plain_CNN
,ToeSegmentation2,plain_CNN
,Trace,plain_CNN
,Two_Patterns,plain_CNN
,TwoLeadECG,plain_CNN
,UWaveGestureLibraryAll,plain_CNN
,wafer,plain_CNN
,Wine,plain_CNN
,WordsSynonyms,plain_CNN
,Worms,plain_CNN
,WormsTwoClass,plain_CNN
,yoga,plain_CNN
,uWaveGestureLibrary_X,plain_CNN
,uWaveGestureLibrary_Y,plain_CNN
,uWaveGestureLibrary_Z,plain_CNN
0.600311243678,ElectricDevices,plain_CNN
0.92,ECG200,plain_CNN
