accuracy,dataset,layer_size,network
0.664246823956,Beef,0.0,ts_autoencoder
0.499914746909,Yoga,0.0,ts_autoencoder
0.647798742138,Coffee,0.0,ts_autoencoder
0.596728708404,ECG200,0.0,ts_autoencoder
0.892667091116,FacesUCR,0.0,ts_autoencoder
0.857797937489,Cricket_Y,0.0,ts_autoencoder
0.501780373166,Lighting2,0.0,ts_autoencoder
0.499622147511,TwoLeadECG,0.0,ts_autoencoder
0.648728813118,Two_Patterns,0.0,ts_autoencoder
0.58741274362,MoteStrain,0.0,ts_autoencoder
0.646702964307,Beef,0.1,ts_autoencoder
0.499945647706,Yoga,0.1,ts_autoencoder
0.496855345912,Coffee,0.1,ts_autoencoder
0.636107265549,ECG200,0.1,ts_autoencoder
0.89814652039,FacesUCR,0.1,ts_autoencoder
0.858383539617,Cricket_Y,0.1,ts_autoencoder
0.500071214927,Lighting2,0.1,ts_autoencoder
0.51444467585,TwoLeadECG,0.1,ts_autoencoder
0.632113321614,Two_Patterns,0.1,ts_autoencoder
0.560766429019,MoteStrain,0.1,ts_autoencoder
0.658197217181,Beef,0.2,ts_autoencoder
0.499848530915,Yoga,0.2,ts_autoencoder
0.547169811321,Coffee,0.2,ts_autoencoder
0.592267856227,ECG200,0.2,ts_autoencoder
0.881510262002,FacesUCR,0.2,ts_autoencoder
0.862902932312,Cricket_Y,0.2,ts_autoencoder
0.501780373166,Lighting2,0.2,ts_autoencoder
0.502854720181,TwoLeadECG,0.2,ts_autoencoder
0.634564892597,Two_Patterns,0.2,ts_autoencoder
0.644755930331,MoteStrain,0.2,ts_autoencoder
0.65093768905,Beef,0.3,ts_autoencoder
0.499848530915,Yoga,0.3,ts_autoencoder
0.647798742138,Coffee,0.3,ts_autoencoder
0.70096908168,ECG200,0.3,ts_autoencoder
0.892031209663,FacesUCR,0.3,ts_autoencoder
0.850089163714,Cricket_Y,0.3,ts_autoencoder
0.501780373166,Lighting2,0.3,ts_autoencoder
0.499605783821,TwoLeadECG,0.3,ts_autoencoder
0.642746111853,Two_Patterns,0.3,ts_autoencoder
0.716434913721,MoteStrain,0.3,ts_autoencoder
0.637628554144,Beef,0.4,ts_autoencoder
